Date,Description,Amount,Merchant,Account,Likely Expense Category
2026-06-01,INTUIT 79359263 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,842.14,INTUIT 79359263,BofA Business Checking,Sales Revenue
2026-06-01,BKOFAMERICA MOBILE 05/31 3733321048 DEPOSIT *MOBILE TN,482.00,BKOFAMERICA MOBILE 05/31 3733321048 DEPOSIT *MOBILE TN,BofA Business Checking,Sales Revenue
2026-06-01,BKOFAMERICA MOBILE 05/31 3652492734 DEPOSIT *MOBILE TN,218.00,BKOFAMERICA MOBILE 05/31 3652492734 DEPOSIT *MOBILE TN,BofA Business Checking,Sales Revenue
2026-06-02,Shopify DES:Shopify ID:ST-A5M0A5U0E3B3 INDN:ZACHARY FEINSTONE CO,5.53,Shopify,BofA Business Checking,Sales Revenue
2026-06-03,VENMO DES:CASHOUT ID:1050720906159 INDN:ZACH FEINSTONE CO,258.20,VENMO,BofA Business Checking,Sales Revenue
2026-06-03,INTUIT 92035013 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,162.50,INTUIT 92035013,BofA Business Checking,Sales Revenue
2026-06-03,Shopify DES:Shopify ID:ST-Z7B0W5D2C6S2 INDN:ZACHARY FEINSTONE CO,5.53,Shopify,BofA Business Checking,Sales Revenue
2026-06-04,INTUIT 95057503 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,811.00,INTUIT 95057503,BofA Business Checking,Sales Revenue
2026-06-05,BKOFAMERICA ATM 06/05 #000009304 DEPOSIT SUMMER AVENUE MEMPHIS TN,521.00,BKOFAMERICA ATM 06/05 #000009304 DEPOSIT SUMMER AVENUE MEMPHIS TN,BofA Business Checking,Sales Revenue
2026-06-08,INTUIT 01187273 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,604.95,INTUIT 01187273,BofA Business Checking,Sales Revenue
2026-06-08,VENMO DES:CASHOUT ID:1050777019906 INDN:ZACH FEINSTONE CO,60.00,VENMO,BofA Business Checking,Sales Revenue
2026-06-09,INTUIT 09819653 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,106.00,INTUIT 09819653,BofA Business Checking,Sales Revenue
2026-06-10,INTUIT 12715853 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,40.00,INTUIT 12715853,BofA Business Checking,Sales Revenue
2026-06-11,BKOFAMERICA ATM 06/11 #000006255 DEPOSIT CENTRAL AVE MEMPHIS TN,218.00,BKOFAMERICA ATM 06/11 #000006255 DEPOSIT CENTRAL AVE MEMPHIS TN,BofA Business Checking,Sales Revenue
2026-06-11,INTUIT 17942803 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,40.00,INTUIT 17942803,BofA Business Checking,Sales Revenue
2026-06-11,Shopify DES:Shopify ID:ST-Y6H6B3M0Y7K7 INDN:ZACHARY FEINSTONE CO,24.79,Shopify,BofA Business Checking,Sales Revenue
2026-06-12,INTUIT 19879393 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,400.00,INTUIT 19879393,BofA Business Checking,Sales Revenue
2026-06-15,INTUIT 24077363 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,108.75,INTUIT 24077363,BofA Business Checking,Sales Revenue
2026-06-16,INTUIT 30543943 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,242.50,INTUIT 30543943,BofA Business Checking,Sales Revenue
2026-06-17,Bill.com DES:ACCTVERIFY ID:016TOWZEF45BF7D INDN:Sobrew CO,0.25,Bill.com,BofA Business Checking,Transfer / Credit Card Payment
2026-06-18,INTUIT 38088473 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,198.00,INTUIT 38088473,BofA Business Checking,Sales Revenue
2026-06-22,INTUIT 45508153 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,1170.00,INTUIT 45508153,BofA Business Checking,Sales Revenue
2026-06-22,INTUIT 42001313 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,745.50,INTUIT 42001313,BofA Business Checking,Sales Revenue
2026-06-23,INTUIT 50165703 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,360.00,INTUIT 50165703,BofA Business Checking,Sales Revenue
2026-06-24,BKOFAMERICA MOBILE 06/24 3806908033 DEPOSIT *MOBILE TN,600.00,BKOFAMERICA MOBILE 06/24 3806908033 DEPOSIT *MOBILE TN,BofA Business Checking,Sales Revenue
2026-06-24,INTUIT 51665163 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,572.00,INTUIT 51665163,BofA Business Checking,Sales Revenue
2026-06-25,INTUIT 57198013 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,811.00,INTUIT 57198013,BofA Business Checking,Sales Revenue
2026-06-26,INTUIT 57784443 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,364.50,INTUIT 57784443,BofA Business Checking,Sales Revenue
2026-06-29,INTUIT 62685553 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,648.60,INTUIT 62685553,BofA Business Checking,Sales Revenue
2026-06-29,BKOFAMERICA MOBILE 06/29 3668292543 DEPOSIT *MOBILE TN,405.50,BKOFAMERICA MOBILE 06/29 3668292543 DEPOSIT *MOBILE TN,BofA Business Checking,Sales Revenue
2026-06-30,BKOFAMERICA ATM 06/30 #000006884 DEPOSIT SUMMER AVENUE MEMPHIS TN,500.00,BKOFAMERICA ATM 06/30 #000006884 DEPOSIT SUMMER AVENUE MEMPHIS TN,BofA Business Checking,Sales Revenue
2026-06-30,INTUIT 70737343 DES:DEPOSIT ID:524771330812939 INDN:SOBREW CO,196.00,INTUIT 70737343,BofA Business Checking,Sales Revenue
2026-06-01,"AMERICAN EXPRESS DES:ACH PMT ID:M5328 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-01,Jared Smith DES:Jared Smit ID:ST-M7E2I6U6X0V7 INDN:RENTREDI CO,-651.00,Jared Smith,BofA Business Checking,Rent & Utilities
2026-06-01,VENMO DES:PAYMENT ID:1050627904972 INDN:ZACH FEINSTONE CO,-90.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-01,INTUIT 82120263 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-18.22,INTUIT 82120263,BofA Business Checking,Bank & Processing Fees
2026-06-02,VENMO DES:PAYMENT ID:1050699743883 INDN:ZACH FEINSTONE CO,-60.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-03,"AMERICAN EXPRESS DES:ACH PMT ID:M7872 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-03,INTUIT 95368773 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-4.86,INTUIT 95368773,BofA Business Checking,Bank & Processing Fees
2026-06-04,"AMERICAN EXPRESS DES:ACH PMT ID:M6588 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-04,INTUIT 98374003 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-27.19,INTUIT 98374003,BofA Business Checking,Bank & Processing Fees
2026-06-05,VENMO DES:PAYMENT ID:1050773902049 INDN:ZACH FEINSTONE CO,-74.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-05,VENMO DES:PAYMENT ID:1050773905999 INDN:ZACH FEINSTONE CO,-1.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-08,"AMERICAN EXPRESS DES:ACH PMT ID:M4984 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-08,VENMO DES:PAYMENT ID:1050796405532 INDN:ZACH FEINSTONE CO,-75.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-08,INTUIT 04429773 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-17.51,INTUIT 04429773,BofA Business Checking,Bank & Processing Fees
2026-06-09,VENMO DES:PAYMENT ID:1050863965054 INDN:ZACH FEINSTONE CO,-85.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-09,INTUIT 12957653 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-3.35,INTUIT 12957653,BofA Business Checking,Bank & Processing Fees
2026-06-10,INTUIT 15767853 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-1.20,INTUIT 15767853,BofA Business Checking,Bank & Processing Fees
2026-06-11,VENMO DES:PAYMENT ID:1050890436467 INDN:ZACH FEINSTONE CO,-63.75,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-11,INTUIT 20897803 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-1.40,INTUIT 20897803,BofA Business Checking,Bank & Processing Fees
2026-06-12,VENMO DES:PAYMENT ID:1050933366109 INDN:ZACH FEINSTONE CO,-85.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-12,INTUIT 22792393 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-14.00,INTUIT 22792393,BofA Business Checking,Bank & Processing Fees
2026-06-15,"AMERICAN EXPRESS DES:ACH PMT ID:M2330 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-15,INTUIT 26937363 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-3.25,INTUIT 26937363,BofA Business Checking,Bank & Processing Fees
2026-06-16,VENMO DES:PAYMENT ID:1051024592423 INDN:ZACH FEINSTONE CO,-18.75,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-16,INTUIT 33251943 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-7.25,INTUIT 33251943,BofA Business Checking,Bank & Processing Fees
2026-06-17,VENMO DES:PAYMENT ID:1051047589553 INDN:ZACH FEINSTONE CO,-165.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-17,Bill.com DES:ACCTVERIFY ID:016TOWZEF45BF7D INDN:Sobrew CO,-0.25,Bill.com,BofA Business Checking,Transfer / Credit Card Payment
2026-06-18,VENMO DES:PAYMENT ID:1051067676622 INDN:ZACH FEINSTONE CO,-50.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-18,INTUIT 40606973 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-6.93,INTUIT 40606973,BofA Business Checking,Bank & Processing Fees
2026-06-22,"AMERICAN EXPRESS DES:ACH PMT ID:M9286 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-22,VENMO DES:PAYMENT ID:1051091357149 INDN:ZACH FEINSTONE CO,-115.60,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-22,VENMO DES:PAYMENT ID:1051113337772 INDN:ZACH FEINSTONE CO,-108.75,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-22,VENMO DES:PAYMENT ID:1051113344303 INDN:ZACH FEINSTONE CO,-80.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-22,INTUIT 44441813 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-25.19,INTUIT 44441813,BofA Business Checking,Bank & Processing Fees
2026-06-22,INTUIT 47877153 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-11.70,INTUIT 47877153,BofA Business Checking,Bank & Processing Fees
2026-06-23,"AMERICAN EXPRESS DES:ACH PMT ID:M2160 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-23,VENMO DES:PAYMENT ID:1051178459193 INDN:ZACH FEINSTONE CO,-200.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-23,VENMO DES:PAYMENT ID:1051178455300 INDN:ZACH FEINSTONE CO,-144.90,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-23,INTUIT 52436203 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-10.76,INTUIT 52436203,BofA Business Checking,Bank & Processing Fees
2026-06-24,"AMERICAN EXPRESS DES:ACH PMT ID:M8416 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-24,INTUIT 53877163 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-19.30,INTUIT 53877163,BofA Business Checking,Bank & Processing Fees
2026-06-25,"AMERICAN EXPRESS DES:ACH PMT ID:M9460 INDN:SOBREW, LLC CO ID:1133133497",-500.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-25,INTUIT 59306513 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-28.39,INTUIT 59306513,BofA Business Checking,Bank & Processing Fees
2026-06-26,"AMERICAN EXPRESS DES:ACH PMT ID:M2400 INDN:SOBREW, LLC CO ID:1133133497",-500.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-26,VENMO DES:PAYMENT ID:1051241321914 INDN:ZACH FEINSTONE CO,-72.00,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-26,INTUIT 59860943 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-11.73,INTUIT 59860943,BofA Business Checking,Bank & Processing Fees
2026-06-29,VENMO DES:PAYMENT ID:1051263257228 INDN:ZACH FEINSTONE CO,-53.60,VENMO,BofA Business Checking,Owner Draw / Equity
2026-06-29,INTUIT 64721553 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-20.96,INTUIT 64721553,BofA Business Checking,Bank & Processing Fees
2026-06-30,"AMERICAN EXPRESS DES:ACH PMT ID:M1078 INDN:SOBREW, LLC CO ID:1133133497",-1000.00,AMERICAN EXPRESS,BofA Business Checking,Transfer / Credit Card Payment
2026-06-30,Jared Smith DES:Jared Smit ID:ST-I5A7L6W9N1L9 INDN:RENTREDI CO,-651.00,Jared Smith,BofA Business Checking,Rent & Utilities
2026-06-30,INTUIT 72572843 DES:TRAN FEE ID:524771330812939 INDN:SOBREW CO,-6.86,INTUIT 72572843,BofA Business Checking,Bank & Processing Fees
