Date,Description,Amount,Merchant,Account,Likely Expense Category
06/04/2026,AMAZON MARKEPLACE NA PA,119.62,AMAZON MARKEPLACE NA PA,Business Amex,Office & Retail Supplies
06/04/2026,BT*PIRATE SHIP * POSJACKSON WY,95.90,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/04/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
06/04/2026,SAV-ON BAGS 9099239588 CA,450.00,SAV-ON BAGS 9099239588 CA,Business Amex,Packaging & Shipping Supplies COGS
06/03/2026,BT*PIRATE SHIP * POSJACKSON WY,52.40,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
06/03/2026,CITY OF OXFORD MS OXFORD MS,4.75,CITY OF OXFORD MS OXFORD MS,Business Amex,Travel & Lodging
06/03/2026,KROGER FUEL MEMPHIS TN,57.13,KROGER FUEL MEMPHIS TN,Business Amex,Fuel & Auto
06/03/2026,MOBILE PAYMENT - THANK YOU,-1000.00,MOBILE PAYMENT - THANK YOU,Business Amex,Transfer / Credit Card Payment
06/03/2026,SHOPIFY* 538941178 ELK GROVE VILLAGE IL,42.81,SHOPIFY* 538941178 ELK GROVE VILLAGE IL,Business Amex,Software & Subscriptions
06/03/2026,SOLA 00-08043593352 OXFORD MS,165.52,SOLA 00-08043593352 OXFORD MS,Business Amex,Business Meals & Entertainment
06/03/2026,THE WEBSTAURANT STOR(717)392-7472 PA,1959.00,THE WEBSTAURANT STOR(717)392-7472 PA,Business Amex,Equipment & Smallwares
06/02/2026,BT*PIRATE SHIP * POSJACKSON WY,20.48,BT*PIRATE SHIP * POSJACKSON WY,Business Amex,Shipping Labels & Postage COGS
